,charity_name,address,city,state,zipcode,url,phone_number,email,category_name,charity_description,charity_tag,logo,ruling_year,assets,income,expenses,irs_form
65,Great Escape Inc,3980 BROADWAY ST STE 103 # 102,Boulder,CO,80304,https://greatescapeinc.com/,415.566.0330,service@greatescapeinc.com,Civic,"Great Escape Fire Escape Service, Inc. (members of P.P.M.A & S.F.A.A since 1997) was the first fire escape service business in the Bay Area, founded in 1988 by Eli Giaquinto a retired New York City fire fighter. With 22 years experience with the NYFD Eli’s knowledge and experience with fire escapes is unmatched by anyone servicing ladders in the Bay Area today. All of our San Francisco technicians are fully trained in fire escape maintenance and inspection, as well as fire escape repair. If safety and satisfaction are what you’re looking for, look no further you can contact us today. We are fully insured & bonded. We are the only service company that offers you a specially designed galvanized barrel (designed by us) to insure you are getting the safest barrel on the market today.  Learn more about our services for maintenance and fire escape repair San Francisco.","Great Escape Fire Escape Service, Inc. (members of P.P.M.A & S.F.A.A since 1997) was the first fire escape service business in the Bay Area, founded in 1988 by Eli Giaquinto a retired New York City fire fighter.",https://greatescapeinc.com/wp-content/uploads/2013/05/GreatEscape_LogoSig2-300x100.gif,2012,"$137,309","$225,073","$238,729",http://www.guidestar.org/FinDocuments/2017/453/417/2017-453417604-0f652562-9.pdf
66,Growing Gardens Of Boulder County Inc,2527 BROADWAY ST,Boulder,CO,80304,https://www.growinggardens.org/,303-443-9952,info@growinggardens.org,Environment,"Over the last 20 years, Growing Gardens has brought gardening, nutrition education and produce donations to over 136,000 Boulder County residents.

We offer a variety of programs to get people of all ages, backgrounds, income levels, and abilities involved in growing and cooking their own food. These educational opportunities are paired with seed, plant start, and produce donations, as well as gardening space, to impart greater food security and hunger relief in our community.","Over the last 20 years, Growing Gardens has brought gardening, nutrition education and produce donations to over 136,000 Boulder County residents.",https://www.growinggardens.org/,1999,"$1,232,182","$985,821","$794,321",http://www.guidestar.org/FinDocuments/2017/841/454/2017-841454093-0f61a657-9.pdf
67,Gzsobols Parkinsons Network,1675 LINDEN AVE,Boulder,CO,80304,http://parkinsonsnetwork.org/,NULL,NULL,Health,"The mission of Parkinson’s Network is to improve quality of life in people with Parkinson’s Disease. We carry out this mission by providing exercise from highly trained instructors offering research-based approaches.

Gary Sobol, founder of Parkinson’s Network, lives in Boulder, Colorado. He was diagnosed with Parkinson’s disease in February, 2008. The disease caused Gary’s health to deteriorate to the point where he needed help with most Activities of Daily Living (ADL’s). For example, he could no longer write a check legibly, a function he has been able to restore with exercise.

Gary did considerable research and learned that exercise could dramatically improve his quality of life. In January, 2012, he designed and created a Parkinson’s boot camp class that is now called GZ Sobol’s Parkinson’s Network Foundations Class.",The vision of Parkinson’s Network is that every person with Parkinson’s Disease has access to our science based group exercise classes to help them restore lost functions. ,http://parkinsonsdev.wpengine.com/wp-content/uploads/cropped-cropped-GZSPN_Logo.png,2013,NULL,NULL,NULL,http://www.guidestar.org/FinDocuments/2013/461/672/2013-461672368-0a890ff6-Z.pdf
68,Hands For Life,435 8TH ST STE 203,Boulder,CO,80304,http://www.handsforlifesd.org/,928-716-7651,NULL,Health,"Hands For Life is a non profit 501(c)3 that prides itself on looking for the “greater good” within each individual on God’s planet.  We understand there may be a divide that separates people based on culture, ethnicity, race, etc., and Hands For Life sees these difference’s as reasons to unite as one!  Just like a rainbow has different colors, those colors makes up its inherent beauty.  HFL sees the same inherent beauty within all people on our planet.   Our differences and individual  uniqueness’ make our world more exciting, more educational and more real.  Hands For Life is dedicated to creating a healthier world while honoring the differences amongst us.  We travel the globe to touch lives and educate  people about health.  Through chiropractic and a natural lifestyle, along with water, food and education, Hands For Life sees its role as a facilitator to unleash the God given potential residing within each person.  Sustainability, empowerment, better health and self sufficiency are what we leave behind after we touch so many.  Our goal is simple: to make sure every man, woman and child have a high functioning nerve system, enough food and water for great nutrition, and an education so they can read, write,  and have the basic skills so they can thrive and thus make a better contribution to the world.","Our mission is to create a natural avenue for the underserved, financial hard-shipped population throughout the world to regain their health",http://www.handsforlifesd.org/wp-content/uploads/2015/06/Large-Final.png,2015,NULL,NULL,NULL,http://www.guidestar.org/FinDocuments/2016/471/325/2016-471325840-0ea55cf0-9.pdf
69,Herb Research Foundation,4140 15TH ST,Boulder,CO,80304,http://www.herbs.org/herbnews/,NULL,NULL,Health,"Welcome to Herb News, the blog about herbs, botanicals, natural health care, alternative, complementary and integrative medicines, the politics, business, science and even gossip, about herbs. We are fiercely independent and strive for accuracy in our reporting. That doesn’t mean we have no viewpoint, as you’ll see. We are strong advocates of natural healthcare and of herbal dietary supplements. In the absence of FDA approved over the counter preventive medicines. supplements are what Americans use as “preventive medicines,” that is, to maintain and improve health.","The blog about herbs, botanicals, natural health care, alternative, complementary and integrative medicines, the politics, business, science and even gossip, about herbs.",https://scontent-msp1-1.xx.fbcdn.net/v/t1.0-9/23554_298501608388_4196452_n.jpg?_nc_cat=103&_nc_ht=scontent-msp1-1.xx&oh=5a6b1af55d12a994096a423ca8acdb2f&oe=5C6C7C95,1988,"$2,995",$298,NULL,http://www.guidestar.org/FinDocuments/2016/841/078/2016-841078228-0ebba788-Z.pdf
70,Honnold Foundation,1580 CRESS CT,Boulder,CO,80304,http://www.honnoldfoundation.org/,NULL,contact@honnoldfoundation.org,Environment,"The Honnold Foundation envisions a world where all people have equal access to opportunity and live in balance with the environment. We believe in solar as a proven, environmentally sound solution to global energy poverty, and we award grants to bold and ethical organizations driving innovation in the solar industry.",The Honnold Foundation envisions a world where all people have equal access to opportunity and live in balance with the environment.,http://static1.squarespace.com/static/546142c8e4b054a6f8697e49/t/5adf7fee575d1f8b8b526d97/1543265850657/?format=1500w,2018,NULL,NULL,NULL,NULL
71,Ida P Rolf Research Foundation,3980 BROADWAY ST STE 103 PMB 156,Boulder,CO,80304,http://rolfresearchfoundation.org/,404-315-0099,info@rolfresearchfoundation.org,Health,"The Ida P. Rolf Research Foundation is a 501(c)3, non-profit organization established to encourage and support evidence-based studies of Structural Integration’s effects and its implications for conventional and complementary health care. The Foundation was created with generous support from the Rolf Institute® of Structural Integration, Boulder, Colorado. The Rolf Institute provided the initial financing and talent. Since then, the Foundation has become an independent entity that seeks to advance the entire field of Structural Integration and all recognized schools of SI.

The Foundation is dedicated to growing the symbiotic relationship between science and therapeutic practice. Our focus on collaborative research is grounded in over 40 years of experience improving the human condition through Structural Integration, as originally taught by Dr. Rolf. Advancements in scientific tools and research methods are increasing our understanding of the practice of Structural Integration and uncovering shared interests with other fields.","Our vision is to transform the scientific paradigm for the way the human body is perceived and treated, using structural integration, in medical and integrative health settings worldwide.",https://rolfresearchfoundation.org/wp-content/uploads/2016/07/IPRRF-logo-web.jpg,2008,"$256,186","$51,581",NULL,http://www.guidestar.org/FinDocuments/2016/260/204/2016-260204787-0e0fcab1-Z.pdf
72,Immigrant Legal Center Of Boulder County,948 NORTH ST STE 8,Boulder,CO,80304,http://www.boulderayuda.org/,303.444.1522,laurel@boulderayuda.org,Civic,"The mission of the Immigrant Legal Center of Boulder County is to expand access to reliable legal services for the immigrant community, to educate the immigrant population about U.S. Law and to educate the general public about legal difficulties encountered by immigrants in this country.","The mission of the Immigrant Legal Center of Boulder County is to expand access to reliable legal services for the immigrant community, to educate the immigrant population about U.S. Law and to educate the general public about legal difficulties encountered by immigrants in this country.",http://boulderayuda.org/ilcbc/sites/default/files/scales_small.gif,2006,"$509,709","$298,498",NULL,http://www.guidestar.org/FinDocuments/2017/203/001/2017-203001622-0ed4dec2-9.pdf
73,Informed Family Life,1610 YELLOW PINE AVE,Boulder,CO,80304,http://www.informedfamilylife.org/,(303) 802-7157,rahimabaldwindancy@gmail.com,Education,"Whether or not your child is enrolled in a Waldorf school or program, it is possible to incorporate these insights into  your home.  But where to start?

If you have young children, the third edition of You Are Your Child’s First Teacher is the place to start in understanding child development from birth through age six and bringing Waldorf/Steiner indications into your home.",Resources for Nourishing Family Life,http://www.informedfamilylife.org/assets_c/2011/11/First-Teacher-NewCover-thumb-200x301-6-thumb-200x301-7.jpg,1979,NULL,NULL,NULL,http://www.guidestar.org/FinDocuments/2013/742/021/2013-742021229-0aa0703f-Z.pdf
74,Innovative Users Group,C/O DOBERMAN 3000 18TH STREET,Boulder,CO,80304,http://innovativeusers.org/,NULL,NULL,Civic,"The Innovative Users Group was founded in 1991 as an international organization of member libraries who used the Innovative Interfaces, Inc integrated library software. It is an independent organization from Innovative Interfaces, Inc.

The IUG is led by the Steering Committee whose members are elected by the general membership. It consists of a Chair, Vice Chair/Chair Elect, Past Chair, Secretary/Treasurer, and five Members at Large. All members of the Steering Committee volunteer their services to the organization.","The Innovative Users Group was founded in 1991 as an international organization of member libraries who used the Innovative Interfaces, Inc integrated library software.",http://innovativeusers.org/images/logo1.png,1997,"$579,019","$495,550",NULL,http://www.guidestar.org/FinDocuments/2016/352/553/2016-352553722-0ec9531a-9O.pdf
75,Insight Sangha,3895 SPRING VALLEY RD,Boulder,CO,80304,http://www.insightcolorado.org/,303-664-0243,ptrwllms98@gmail.com,Religious,"The purpose of IMCC is to provide organizational support for Insight Meditation sitting groups, retreats, and other practice opportunities drawn from the Theravada Buddhist tradition, in the Rocky Mountain region. Its principal ongoing activities are sitting groups in Boulder and Denver, Colorado, as well as periodically scheduled practice days, non-residential and residential retreats, and similar related events. The IMCC website also includes links to other organizations sponsoring Insight Meditation related practice opportunities in Colorado and elsewhere in the nation. IMCC is recognized as a non-profit religious organization under Colorado and federal law.","The purpose of IMCC is to provide organizational support for Insight Meditation sitting groups, retreats, and other practice opportunities drawn from the Theravada Buddhist tradition, in the Rocky Mountain region.",http://www.insightcolorado.org/images/knot.gif,2018,NULL,NULL,NULL,NULL
76,Jarrow School Inc,3900 ORANGE CT,Boulder,CO,80304,http://www.jarrow.org/,303-443-0511,frontdesk@jarrow.org,Education,"Since 1964, Jarrow students, staff and parents have worked together to build and protect a joyous and respectful school community. Because our lessons are compelling, relevant and inspiring, our students are motivated and engaged. They work both independently and in collaboration with one another toward meaningful academic and social pursuits.

Here at Jarrow, character is honed, confidence grows and generosity is extended toward self and others. Our school’s mission and practices are based on Dr. Montessori’s extraordinary vision of Education for Peace.",Jarrow Montessori School nurtures the development of the whole child through quality Montessori education. Our community supports each child’s joyful discovery of self in the journey to becoming a confident lifelong learner and compassionate citizen.,https://scontent-msp1-1.xx.fbcdn.net/v/t1.0-9/10300761_692958434105690_5381451092009126164_n.jpg?_nc_cat=101&_nc_ht=scontent-msp1-1.xx&oh=32dc588e122b9a24a2ef0c99b17df23b&oe=5C6F0B6F,1964,"$2,430,151","$2,811,689",NULL,http://www.guidestar.org/FinDocuments/2017/840/531/2017-840531208-0ef707e6-9.pdf
77,Jlf Colorado,1500 KALMIA AVE,Boulder,CO,80304,https://jaipurliteraturefestival.org/boulder/,NULL,contact@teamworkarts.com,Art & Culture,"A festival of literature from all over the world, ZEE JLF at Boulder promises to be an event unlike any other. Free and accessible to everyone, the Festival invites you to join us in examining the human experience through the reflections and imaginations of distinguished contemporary authors from across the globe.

In an uplifting celebration of the mind and heart, writers and thinkers from the Americas, Asia, Africa, and Europe will take part in provocative conversations about life and society, economics and the arts, equity, freedom, and the care of our planet. In these critical times, the penetrating, intercultural dialogue exchanged speaks deeply to individuals, and gives rise to the joy of community.","A festival of literature from all over the world, ZEE JLF at Boulder promises to be an event unlike any other. Free and accessible to everyone, the Festival invites you to join us in examining the human experience through the reflections and imaginations of distinguished contemporary authors from across the globe.",https://jaipurliteraturefestival.org/boulder/wp-content/uploads/2016/07/ZEE-JLF-Boulder-logo.png,2015,"$14,689","$241,236",NULL,http://www.guidestar.org/FinDocuments/2016/472/730/2016-472730066-0e13fe8e-9.pdf
78,Kids Included Of Colorado,2195 NORWOOD AVE,Boulder,CO,80304,https://www.kidsincluded.org/,(802) 373-6868,NULL,Education,"Kids Included of Colorado was founded by two occupational therapists, specializing in neurological disorders, who recognized the importance for all children to learn through physical experiences and the subsequent need to empower movement-based extracurricular programs to serve both neurodiverse and neurotypical children. Teachers report that the overall classroom climate becomes more respectful and productive when students with disabilities are included. KIoC was launched to fill a critical gap in Boulder community’s initiative to grow and nurture inclusivity. Today, we serve as the only organization in the Boulder area who trains and educates existing extracurricular program owners and staff to extend their programs to include neurodiverse children. Since KIoC’s inception we have witnessed neuro-inclusive programming not only improve the lives of neurodiverse children, but also dramatically increase empathy in neurotypical students and boost confidence in teachers. At KloC, we cherish acceptance, encourage bravery, and are passionate about the power of all children learning and playing together.","KIoC started by engaging a community of parents with neurodiverse children; children diagnosed with neurological disorders, chromosomal abnormalities, physical disabilities, learning challenges, and other special needs.",https://www.kidsincluded.org/wp-content/uploads/2018/01/KIOC-LOGO-FINAL-COLOR-01SCREEN-400x400.jpg,2016,NULL,NULL,NULL,NULL
79,Kiva Center,2145 UPLAND AVE,Boulder,CO,80304,http://snowmountainranch.org/activities/the-kiva-center/,970-887-2152,info@ymcarockies.org,Sports,"The Kiva Center is Snow Mountain Ranch’s home for indoor recreation. Here you will find roller-skating, basketball, volleyball, soccer, badminton, ping-pong, air hockey, pool, and foosball.

Snow Mountain Ranch guests and day pass visitors are welcome to use the Kiva amenities at no additional charge. You are welcome to bring your own roller blades.","The Kiva Center is Snow Mountain Ranch’s home for indoor recreation. Here you will find roller-skating, basketball, volleyball, soccer, badminton, ping-pong, air hockey, pool, and foosball.",https://snowmountainranch.org/wp-content/themes/ymca2-estes/images/logo-smr.png,2017,NULL,NULL,NULL,NULL
80,Kiwanis International Inc,7920 LASLEY FOREST RD,Boulder,CO,80304,https://www.kiwanis.org/,(317) 875-8755,memberservices@kiwanis.org,Human Services,"Kiwanis International is a global community of clubs, members and partners dedicated to improving the lives of children one community at a time. Today, we stand with more than 600,000 members from K-Kids to Key Club to Kiwanis and many ages in between in more than 80 countries. Each community has different needs, and Kiwanis empowers members to pursue creative ways to serve the needs of children, such as fighting hunger, improving literacy and offering guidance.

Kiwanis clubs host nearly 150,000 service projects each year.","Kiwanis International is a global community of clubs, members and partners dedicated to improving the lives of children one community at a time.",https://scontent-msp1-1.xx.fbcdn.net/v/t1.0-9/375863_10150455910924673_709554564_n.jpg?_nc_cat=110&_nc_ht=scontent-msp1-1.xx&oh=22dabce20cc0f4f31454ac830e34b75a&oe=5CB24E6B,1940,"$33,444,928","$29,873,219",NULL,http://www.guidestar.org/FinDocuments/2016/361/327/2016-361327510-0e5a831d-9O.pdf
81,Leave No Trace Center For Outdoor Ethics,1000 North Street,Boulder,CO,80304,https://lnt.org/,303.442.8222,info@LNT.org,Education,"The Leave No Trace Center for Outdoor Ethics is a national organization that protects the outdoors by teaching and inspiring people to enjoy it responsibly. The Center accomplishes this mission by delivering cutting-edge education and research to millions of people across the country every year.

Enjoy your world. Leave No Trace.",Our mission is to protect the outdoors by teaching and inspiring people to enjoy it responsibly.,https://scontent-msp1-1.xx.fbcdn.net/v/t1.0-9/12191629_10153265376078660_7459626433856809437_n.png?_nc_cat=111&_nc_ht=scontent-msp1-1.xx&oh=da2a8c16bcc13746820f2b050344e674&oe=5C6CD47F,1995,"$590,652","$2,057,891","$1,905,401",http://www.guidestar.org/FinDocuments/2017/841/303/2017-841303335-0f6bc873-9.pdf
82,Lemon Sponge Cake Contemporary Ballet,4730 HOLIDAY DRIVE,Boulder,CO,80304,http://lemonspongecake.org/,720 352 2903,dance@lemonspongecake.org,Art & Culture,"Robert Sher-Machherndl, internationally renowned contemporary ballet choreographer, a native of Vienna Austria, has been a Principal Dancer, Choreographer, Master-Teacher and Artistic Director. He’s been granted the privilege of the US visa type, alien of extraordinary ability. As Principal Dancer with Dutch National Ballet &amp; Bavarian State Ballet he mastered repertoire from George Balanchine, Sir Fredrick Ashton and John Cranko. He danced leading roles in Swan Lake, Giselle, Romeo and Juliet, Onegin, Cinderella, Sleeping Beauty, Nuages, Apollo, Stravinsky Violin Concerto, Serenade, Symphony in C, Diamonds, Concerto Barocco, Agon, La Valse, Divertimento no. 15, Hammerklavier, Grosse Fuge and Bad Blood. He has collaborated with Rudolf Nureyev, Jiri Kylian, Hans van Manen, Ulysses Dove, Ed Wubbe, Ben Stevenson, Rudi van Dantzig, Maurice Bejart and John Neumeier. Robert has been partner to principal dancer Jolinda Menendez of American Ballet Theater and Evelyn Hart of Royal Winnipeg Ballet. Robert has been a member of Nederlands Dance Theater, Co-Director of Salzburg Ballet and Assistant to Artistic Director Ed Wubbe at Scapino Ballet.","LEMON SPONGE CAKE WAS FOUNDED IN 2004 BY INTERNATIONALLY RENOWNED DANCER AND CHOREOGRAPHER ROBERT SHER-MACHHERNDL AND PARTNER JENIFER SHER. ITS MISSION IS TO BRING NEW CONCEPTS AND REALITIES TO THE FIELD OF DANCE AND ITS AUDIENCES,",https://lemonspongecake.org/wp-content/uploads/2015/02/LSCLogo-07x-e1431538301994.png,2004,"$208,869","$154,693","$169,138",http://www.guidestar.org/FinDocuments/2016/522/444/2016-522444709-0e607ec4-Z.pdf
83,Making Our Voices Effective Inc,2365 BALSAM DR,Boulder,CO,80304,http://movepakistan.org/,NULL,movepakistan@gmail.com,Human Services,"MOVE (Making Our Voices Effective), Inc. is a 501c-3 Not-for-Profit organization established by North American professional and business leaders of South Asian origin to undertake social welfare projects in Pakistan. Our programs concentrate on providing high-quality educational and healthcare services in under-privileged communities at affordable prices.",Move was established in 2006 by business leaders of South Asian origin based in North America to develop and implement educational and healthcare programs in Pakistan.,http://movepakistan.org/images/logo.png,2007,NULL,NULL,NULL,NULL
84,Media In The Public Interest Inc,2475 BROADWAY ST STE 205,Boulder,CO,80304,https://www.mediainthepublicinterest.org/,303.339.0092,info@mediainthepublicinterest.org,Art & Culture,"Media in the Public Interest (MPI) provides news coverage that helps: educate the people in the United States about critical issues that affect their daily lives; ensure multi-platform news content for hard-pressed media outlets; and strengthen and amplify the nonprofit public interest sector’s capacity to interact most effectively with journalists, and the changing media landscape overall.","Media in the Public Interest (MPI) provides news coverage that helps: educate the people in the United States about critical issues that affect their daily lives; ensure multi-platform news content for hard-pressed media outlets; and strengthen and amplify the nonprofit public interest sector’s capacity to interact most effectively with journalists, and the changing media landscape overall.",https://www.mediainthepublicinterest.org/wp-content/uploads/2016/01/MPI.final-2.jpg,2003,"$79,286","$71,470",NULL,http://www.guidestar.org/FinDocuments/2016/542/110/2016-542110334-0e5a7f0b-Z.pdf
85,Motus Theater,4519 8TH ST UNIT C,Boulder,CO,80304,http://motustheater.org/,303-440-3682,motuscommunity@gmail.com,Art & Culture,"Storytelling is at the heart of what makes us human. We focus on bringing marginalized voices or silenced histories to the stage.  We support inclusion by expanding our audiences’ experiences of the variety of stories that make up our community.  By using theater to learn and listen across the gaps of difference we weave a tighter, stronger and more integrated community.  When you support Motus you are supporting the most powerful and efficacious type of theater – theater with high aesthetic value that is created by the community and for the community. We hope you will gather around the fire with us: share your stories and learn new ones.",The mission of Motus Theater is to create original theater to facilitate dialogue on critical issues of our time. We aim to use the power of art to build alliances across diverse segments of our community.,http://motustheater.org/wp-content/uploads/2015/10/logo.jpg,2012,"$158,357","$232,105","$177,062",http://www.guidestar.org/ViewEdoc.aspx?eDocId=4276082&approved=True
86,Mount Zion Lutheran Church & School,1680 BALSAM AVE,Boulder,CO,80304,http://www.mtzionboulder.org/,303-443-4151,office@mtzionboulder.org,Religious," Mt. Zion Lutheran Church is a congregation of the Lutheran Church - Missouri Synod. Since 1956, the church has been an active member of the Boulder community, offering worship opportunities and providing Christian education programs to children, youth and adults. If you are new to the area and looking for a church home, we invite you to join us. Perusing the pages of this website will provide an introduction.

Mt. Zion Lutheran Preschool is a state-certified and full-service child care program for toddlers through age four. Check out the pages on this website for details. The program offers a complete educational program for toddlers through pre-kindergarten and full day child care. The program operates all year long.","Mt. Zion Lutheran Church is a congregation of the Lutheran Church - Missouri Synod. Since 1956, the church has been an active member of the Boulder community, offering worship opportunities and providing Christian education programs to children, youth and adults.",http://www.mtzionboulder.org/images/layout_parts/header112013.png,1941,NULL,NULL,NULL,NULL
87,Mountain Flower Urban Goat Dairy,3240 BROADWAY ST,Boulder,CO,80304,http://mountainflowerdairy.com/,518-605-8382,Taber@mountainflowerdairy.com,Environment,"Mountain Flower creates experiential education modules to enable adult and youth to learn to see themselves not only as consumers, but as important land stewards who are essential to ecological and animal health and wellness. Program participants engage in the basics of goat care – feeding alfalfa and grain, providing clean water, cleaning pens and composting waste. We also teach necessary skills for clean and humane food production to educate future farmers.

In concert with the growing national movement for local food, ecological awareness, and sustainable living, Mountain Flower cultivates people’s connection to what nourishes us, and in so doing ensures that people will protect and restore our local ecosystem for generations to come.","Our vision comprises three interrelated goals - COMMUNITY, ENGAGEMENT, & EDUCATION",https://mountainflowerdairy.com/wp-content/uploads/2017/03/MFGD-Logo-Header-GreyBG.jpg,2014,"$36,354","$108,366",NULL,http://www.guidestar.org/FinDocuments/2016/461/341/2016-461341252-0e9e3468-Z.pdf
88,Namaste Solar Foundation Inc,4571 BROADWAY ST,Boulder,CO,80304,https://www.namastesolarfoundation.org/,NULL,NULL,Environment,Propagating renewable energy for socially responsible organizations.,Propagating renewable energy for socially responsible organizations.,https://www.namastesolarfoundation.org/uploads/9/5/7/2/95727180/published/nsf-logo-hands-only.jpg?1485900762,2013,$25,"$122,067",NULL,http://www.guidestar.org/FinDocuments/2016/462/148/2016-462148950-0ea0d1a7-F.pdf
89,Nami Boulder County Inc,3470 BROADWAY ST,Boulder,CO,80304,https://namibouldercounty.org/,303.443.4591,info@namibouldercounty.org,Health,"NAMI, the National Alliance on Mental Illness, is the nation’s largest grassroots mental health organization dedicated to building better lives for the millions of Americans affected by mental illness.
What started as a small group of families gathered around a kitchen table in 1979 has grown into the nation’s leading voice on mental health.

NAMI Boulder County evolved from an organization called Families and Friends of the Adult Mentally Ill (FFAMI), which was founded in Boulder in 1977 by Mary Jean Willis. FFAMI members attended the founding convention for NAMI National in 1979.

Today, NAMI is an association of hundreds of local affiliates, state organizations and volunteers who work in your community to raise awareness and provide support and education that was not previously available to those in need.

NAMI Boulder County serves Boulder and Broomfield Counties. Our members are families, friends, and individuals coping with mental illness. NAMI Boulder County members are available when you most need a helping hand through the struggles and challenges of mental illness. NAMI is there with acceptance, understanding, information and emotional support.","NAMI, the National Alliance on Mental Illness, is the nation’s largest grassroots mental health organization dedicated to building better lives for the millions of Americans affected by mental illness.",https://426isg3azehszl2m72sfbhez-wpengine.netdna-ssl.com/wp-content/uploads/sites/187/2017/12/0000000049_color.jpg,2001,NULL,NULL,NULL,NULL
90,Natural Transitions Funeral Guidance,780 QUINCE CIR,Boulder,CO,80304,https://www.naturaltransitions.org/,303 520 1759,NULL,Human Services,"We are a non-profit RESOURCE CENTER 501(c) (3) providing education on conscious, holistic, and green approaches to end of life, including family-directed home-based after-death care also known as “home funerals.”","We are a non-profit RESOURCE CENTER 501(c) (3) providing education on conscious, holistic, and green approaches to end of life, including family-directed home-based after-death care also known as “home funerals.”",https://scontent-msp1-1.xx.fbcdn.net/v/t1.0-9/1903021_10151864432341176_456879206_n.jpg?_nc_cat=104&_nc_ht=scontent-msp1-1.xx&oh=c7836d85c637e1591c3b1df88b8d8b91&oe=5C6B9FA7,2004,"$30,467","$18,395",NULL,http://www.guidestar.org/FinDocuments/2016/770/621/2016-770621166-0e3c45e3-Z.pdf
91,New Horizons School,1825 UPLAND AVE,Boulder,CO,80304,http://newhorizonspreschoolboulder.org/,(303) 442-7434,NULL,Education,"New Horizons Cooperative Preschool offers a half-day, play-based, bilingual preschool program for children aged 2.5 to 7 years old. Founded in 1968, our goal is to bring together families and children who are traditionally separated by ethnicity, class, race, and culture.  For nearly 50 years, New Horizons has continued to operate as a collaborative effort of parents, teachers, and community members to foster diversity and to educate one another.

Located in north Boulder near 19th St. and Upland Ave in quiet and calm neighborhood, the preschool has abundant opportunities and space inside and outside to learn, play and grow. Our large, tree shaded yard is a magical place for children – with play structures to boost gross motor skills, intimate areas for pretend play, friendly next door goats to interact with, a garden to dig in, bikes and trikes for exercise, and sand to boxes to build and dig in.","New Horizons Cooperative Preschool offers a half-day, play-based, bilingual preschool program for children aged 2.5 to 7 years old.",http://newhorizonspreschoolboulder.org/wp-content/uploads/2017/09/newhorizons-logo.png,1972,"$146,545","$203,223",NULL,http://www.guidestar.org/FinDocuments/2017/840/586/2017-840586417-0eb5f278-9.pdf
92,Nobo Art District,1510 ZAMIA AVE APT 102,Boulder,CO,80304,https://noboartdistrict.org/,NULL,NULL,Art & Culture,"The NoBo Art District is an inclusive, grassroots, community-focused organization dedicated to promoting artists and creative businesses located along Broadway and the adjoining neighborhoods in north Boulder, Colorado. The NoBo area is characterized by upscale, mixed-use new urbanism, high-end restaurants and shops, and a mix of funky, artist-friendly warehouses. The NoBo Art District creates opportunities for artists to connect with each other and the broader community promoting engagement through art, education and events.",Promoting and supporting artists and creative industries in North Boulder.,https://noboartdistrict.org/wp-content/uploads/2016/05/NoBoLOGO-1x.png,2016,NULL,NULL,NULL,NULL
93,Passageways Institute Inc,3050 BROADWAY ST STE 203,Boulder,CO,80304,http://passageworks.org/,303.247.0156,info@passageworks.org,Education,"Our mission is to support educators to integrate social, emotional and academic learning and create relationship-based classrooms that are inclusive, meaningful and engaged.

Our vision is of an education system in which all young people are supported to develop compassion, character, academic excellence, and a sense of deep connection to themselves and the world around them.

PassageWorks practices and principles support the inner lives of teachers and students. By “inner life” we refer to that essential aspect of human nature that yearns for deep connection, grapples with difficult questions about meaning, and seeks a sense of purpose and genuine self-expression.","Our mission is to support educators to integrate social, emotional and academic learning and create relationship-based classrooms that are inclusive, meaningful and engaged.",http://passageworks.org/wp-content/uploads/2013/03/PW-Logo-final-ai-4.24.13-transparent-300x56.png,2003,"$84,324","$523,694","$28,674",http://www.guidestar.org/FinDocuments/2016/481/278/2016-481278766-0e4319bf-9.pdf
94,Philanthropy Project,2722 ARBOR GLEN PL,Boulder,CO,80304,https://philanthropyproject.com/,(720) 593-2390,info@philanthropyproject.com,Civic,"There are countless online giving platforms that make it easier for adults to rally a community of supporters and affect meaningful change. But we realized that nothing of the sort was available to young changemakers. How can we expect youth to change the world if they don't have the proper tools at their disposal? It just didn't seem fair.

So we set out to talk to hundreds of youngsters and find out what tools they really wanted and needed to turn their ideas into impact. And then we built a platform with all of these tools that is both user-friendly, and safe for youth of all ages. Now, young changemakers can leverage our technology to build a community, spread the word about their cause and maximize their impact.",We built the first ever youth-focused giving platform to make it easier for young people to take action.,https://philanthropyproject.com/wp-content/uploads/2018/02/TPP-1.png,2015,NULL,NULL,NULL,http://www.guidestar.org/FinDocuments/2015/473/192/2015-473192732-0c9c8ddf-Z.pdf
95,Pine Brook Hills Homeowners Association Inc,1907 LINDEN DR,Boulder,CO,80304,https://www.pinebrookhills.org/HOA/HOA.html,NULL,NULL,Civic,"HOA general membership meetings are held quarterly (or as needed) at the Pine Brook Hills Community Center, located at 1905 Linden Drive. Usually the meetings fall on the last Tuesday evening in January, April, July, and October and cover topics of interest to homeowners. All HOA meetings are announced on the PBH website and on signs at the Linden Drive entrance of the neighborhood. Any changes in the dates would be announced in these same locations. Ideas, issues, and suggestions are freely discussed by all those attending.

Opportunities are provided for residents to meet and socialize. The Pine Brook Socials are informal and friendly. There is usually one social event in the summer and one in the winter. Additionally, pot-luck gatherings are often held before the HOA membership meetings.

The Pine Brook Press is a wonderful quarterly publication that provides information about HOA and neighborhood activities, programs, events, and issues. The “Press” also contains community news and articles of interest to residents of the Pine Brook Hills neighborhood.

With the participation and support from all of us, life in Pine Brook Hills can be made even more enjoyable.","The Pine Brook Hills Home Owners Association is an all-volunteer, non-profit organization. The overarching purpose of the HOA is to cultivate a strong, sustainable, vibrant, and attractive community and to enhance the quality of life and well-being of the residents of Pine Brook Hills.",https://www.pinebrookhills.org/images/sign.png,2000,NULL,NULL,NULL,NULL
